id,username,Extraversion,Neuroticism,Agreeableness,Conscientiousness,Opennes
64,A29AQW33B8ILM1,0.456991418,0.804181185,0.686001496,0.691806386,0.832402803
65,A1TEMNM9ZEOLJ6,0.326422442,0.574415132,0.763852365,0.581408673,0.638104712
66,A2M6I9UPDYV577,0.439414825,0.773251139,0.809265372,0.678006672,0.806247291
67,A1QIBRCOS7W7G5,0.228495709,0.402090592,0.900091385,0.19392427,0.492381143
68,A1BJLZ8UNAZX2D,0.481043598,0.84650651,0.703301689,0.581408673,0.868194557
69,A2OV92BM57J94R,0.357024546,0.628266551,0.307108953,0.650407243,0.650712817
70,A2BBMZLYRYUSF9,0.228495709,0.402090592,0.900091385,0.629707672,0.492381143
71,A2SFZIE5JOX8F7,0.428429455,0.753919861,0.739081634,0.695569944,0.94646123
72,A2GPUFRP0HV6XW,0.399867491,0.703658537,0.343962027,0.339367472,0.797254823
73,A2WBZ99ZCZ750L,0.228495709,0.402090592,0.19654973,0.919501668,0.492381143
74,A3W2UXRJ8SR6RN,0.228495709,0.402090592,0.900091385,0.919501668,0.492381143
75,ASI9ATRF223PL,0.357024546,0.628266551,0.307108953,0.303006672,0.145101452
76,A32U7TU72H1K4D,0.285619636,0.50261324,0.600365541,0.716645871,0.577386558
77,A1ETANQJNZCP4F,0.656991418,0.731073804,0.763852365,0.658687072,0.770580683
78,A364JTLV2GCP0,0.326422442,0.574415132,0.673026351,0.678006672,0.638104712
79,ATJCKJB5TW8BJ,0.228495709,0.402090592,0.763852365,0.19392427,0.492381143
80,A36LDA9339NE8Q,0.456991418,0.804181185,0.686001496,0.77460467,0.832402803
81,AW8G5VS3T7IB3,0.380826182,0.670150987,0.831971875,0.702156171,0.71906225
82,A112VKJPV224PX,0.666519435,0.703658537,0.915229054,0.806804003,0.747397388
83,A25CQTB313XDWO,0.693742338,0.868150143,0.647076062,0.650407243,0.914488429
84,A3PQS6PL3M1EMN,0.357024546,0.628266551,0.724926931,0.650407243,0.683643327
85,A2YCSF5M79TWO8,0.448830857,0.789820806,0.742892516,0.707729133,0.955069292
86,A3HXVPWDL1X4LT,0.380826182,0.670150987,0.627613345,0.557259174,0.771609972
87,ACQDC9PGFAWNG,0.489633663,0.861622698,0.682108953,0.687666471,0.94086599
88,A1WGF3DAX2WUV0,0.285619636,0.50261324,0.818347973,0.600728273,0.577386558
89,A3ILK84Q28UUBA,0.326422442,0.574415132,0.280785328,0.581408673,0.899834228
90,AB93M4OWWM59K,0.285619636,0.50261324,0.600365541,0.716645871,0.577386558
91,A2JJU426QP7MTH,0.357024546,0.628266551,0.647076062,0.650407243,0.683643327
92,A2DB9LVEZRDMEY,0.326422442,0.574415132,0.854678378,0.678006672,0.638104712
93,A26OR9VFY3J8CT,0.642699394,0.773251139,0.673026351,0.372931288,0.806247291
94,AGEJE3WH26UBR,0.464131909,0.816746516,0.673026351,0.678006672,0.920350109
95,A1GKR5QUCDUPWP,0.493343008,0.868150143,0.828728089,0.595208387,0.973105232
96,A11SXQK0X7LGZA,0.399867491,0.703658537,0.794127703,0.678006672,0.747397388
97,A2JCW6AAQ926RW,0.326422442,0.574415132,0.763852365,0.77460467,0.638104712
98,A2UFNFOJLYAVYC,0.357024546,0.628266551,0.802777799,0.733205528,0.683643327
99,A2ZAIUACUF14G,0.228495709,0.402090592,0.632514595,0.629707672,0.492381143
100,A2KW8K3Q5PAO2F,0.285619636,0.50261324,0.600365541,0.716645871,0.756223062
101,A3MUTJZ5C480U9,0.228495709,0.402090592,0.627613345,0.629707672,0.492381143
102,A2L09F9YA96UHO,0.380826182,0.670150987,0.627613345,0.702156171,0.848544526
103,A1L0L5LL943B5T,0.228495709,0.402090592,0.627613345,0.19392427,0.540806311
104,ARJE8W68X8A50,0.428429455,0.753919861,0.63999871,0.590190309,0.789900096
105,AH0JGYU6T8CRL,0.357024546,0.628266551,0.724926931,0.303006672,0.683643327
106,A7OZBEOEMCXBX,0.228495709,0.402090592,0.627613345,0.629707672,0.492381143
107,AHN34TYB15NWF,0.632490805,0.901237535,0.549762476,0.434657846,0.474862408
108,A307SG5H71W726,0.285619636,0.50261324,0.245687162,0.242405337,0.879318347
109,A25YDEYC7FIJKY,0.415446744,0.731073804,0.357363145,0.542769474,0.879318347
110,A33B5M5CE7ZX7C,0.530436468,0.933424589,0.757206559,0.612037307,0.942367152
111,A3JQRM0U1T8QRO,0.399867491,0.703658537,0.733577027,0.613608006,0.747397388
112,A201HVK6NWJJER,0.357024546,0.628266551,0.569225193,0.567608959,0.683643327
113,A1CEQM9AAKNYJ0,0.285619636,0.50261324,0.709356757,0.600728273,0.577386558
114,A2I2A7N3OCPNW4,0.652137523,0.949380565,0.707300319,0.648845012,0.723707326
115,ATXWVGLKWDPX4,0.285619636,0.50261324,0.818347973,0.600728273,0.577386558
116,A5Y2KX0J3KZ2I,0.326422442,0.574415132,0.763852365,0.871202669,0.638104712
117,A2S9PZCNEJEF3Y,0.428429455,0.753919861,0.63999871,0.537500492,0.72265162
118,A1BHK6FFUZNKSN,0.285619636,0.50261324,0.600365541,0.242405337,0.577386558
119,A3TPW6TEDC5MO5,0.228495709,0.402090592,0.763852365,0.629707672,0.492381143
120,A2TZKXU6Q0EDNP,0.632490805,0.804181185,0.608150627,0.650407243,0.914488429
121,ACFEPG03RHCHN,0.228495709,0.402090592,0.19654973,0.77460467,0.492381143
122,A376S5UTK3ZHFX,0.285619636,0.50261324,0.709356757,0.600728273,0.879318347
123,A271KAH1SN42C8,0.228495709,0.402090592,0.627613345,0.919501668,0.492381143
124,A2NQUGGYM0DBM1,0.608522814,0.962145346,0.53876181,0.464033074,0.431536945
125,A1WWDFQ8HSKT0,0.470432342,0.827833572,0.59355359,0.557259174,0.617740865
126,AWLFVCT9128JV,0.714159515,0.574415132,0.582200338,0.277034671,0.797254823
127,AJCHQIT91P6O2,0.228495709,0.402090592,0.763852365,0.77460467,0.492381143
128,A1LP2N7LKPOQYJ,0.742743564,0.50261324,0.709356757,0.242405337,0.756223062
129,A3JVKE2EYSF6V4,0.285619636,0.50261324,0.245687162,0.832563469,0.879318347
130,A149RNR5RH19YY,0.285619636,0.50261324,0.245687162,0.242405337,0.577386558
131,A38SSAZABU2ZSE,0.228495709,0.402090592,0.19654973,0.19392427,0.694675419
132,A15AA7MB9XN2S2,0.285619636,0.50261324,0.818347973,0.600728273,0.577386558
133,A2QMNLEU7DZEFD,0.415446744,0.731073804,0.709356757,0.542769474,0.770580683
134,A1SFZXPPJKZAVY,0.464131909,0.816746516,0.818347973,0.639367472,0.84302848
135,A2XZHXLDPD7KCK,0.380826182,0.670150987,0.763852365,0.557259174,0.71906225
136,A2Z3HK0CQLYMCH,0.228495709,0.402090592,0.763852365,0.629707672,0.492381143
137,A2IW21X0N0IDQS,0.476032727,0.837688734,0.747824245,0.587090908,0.860737941
138,AYCNDDEXSSK87,0.228495709,0.402090592,0.900091385,0.77460467,0.492381143
139,A26XCS3QLDJJWN,0.598036818,0.913842255,0.678702977,0.720268296,0.925479079
140,A6P1YY7PJVO3K,0.415446744,0.731073804,0.654861149,0.600728273,0.879318347
141,A363LNYX7WT1QP,0.228495709,0.402090592,0.763852365,0.629707672,0.694675419
142,A74SXIJ54KQ0,0.380826182,0.670150987,0.831971875,0.77460467,0.71906225
143,AAF1ODK68MOGF,0.326422442,0.574415132,0.673026351,0.678006672,0.899834228
144,A4M22DL2X5BFH,0.456991418,0.804181185,0.841703234,0.650407243,0.832402803
145,A29RX3OBWFV9A,0.326422442,0.574415132,0.673026351,0.277034671,0.638104712
146,A3QCR1R9PDL7OE,0.285619636,0.50261324,0.600365541,0.242405337,0.577386558
147,A1F8KRXO5OMBZV,0.481043598,0.84650651,0.551925,0.517010007,0.489516609
148,A2O4820X0UIJCW,0.228495709,0.402090592,0.763852365,0.19392427,0.848544526
149,A1FMJJKSVQDDQ,0.499834364,0.879573171,0.586149295,0.53520963,0.895374254
150,A10O7THJ2O20AG,0.357024546,0.628266551,0.724926931,0.650407243,0.683643327
151,AICRDGOQ9KCVA,0.448830857,0.789820806,0.784812214,0.573978058,0.820259172
152,A1L45E2J9AV3I1,0.285619636,0.50261324,0.600365541,0.600728273,0.879318347
153,A3UZQ8KFWMA0MO,0.326422442,0.574415132,0.280785328,0.77460467,0.638104712
154,A28PRU8FTMCT8J,0.285619636,0.50261324,0.245687162,0.242405337,0.633127776
155,A3B4N44LA778OG,0.448830857,0.789820806,0.742892516,0.663145441,0.907724952
156,A2XY7164O8EJ0K,0.380826182,0.670150987,0.763852365,0.629707672,0.71906225
157,A26UVHQNSP8Q6U,0.285619636,0.50261324,0.709356757,0.600728273,0.577386558
158,A9QY9F2Y7KDFW,0.228495709,0.402090592,0.19654973,0.19392427,0.492381143
159,A18HCRSSHL1SML,0.228495709,0.402090592,0.632514595,0.19392427,0.492381143
160,A1Q6KVOLE0HO3R,0.439414825,0.773251139,0.718439358,0.581408673,0.848544526
161,AHMAQXXYIR6DK,0.489633663,0.861622698,0.791100169,0.542769474,0.880977326
162,A3TGWGOARUYDTP,0.285619636,0.50261324,0.600365541,0.242405337,0.879318347
163,A1NC477I5AHP2H,0.357024546,0.628266551,0.724926931,0.898802097,0.683643327
164,AAB5UJPDLDL8Y,0.399867491,0.703658537,0.612475676,0.339367472,0.592096014
165,AT3T1GEJXFITE,0.285619636,0.50261324,0.927339189,0.600728273,0.577386558
166,A38FLRG3XXICW4,0.285619636,0.50261324,0.927339189,0.600728273,0.577386558
167,A2HIVGT8GRZAL,0.228495709,0.402090592,0.627613345,0.629707672,0.492381143
168,A25AXWGBGJ5KBS,0.515958053,0.907946499,0.782017568,0.75528507,0.920350109
169,AA1BKO3XQ1N8V,0.285619636,0.50261324,0.709356757,0.716645871,0.577386558
170,A2HRVVDJMY5M4Z,0.285619636,0.50261324,0.245687162,0.242405337,0.756223062
171,AWWDEIRPYXO1V,0.399867491,0.703658537,0.794127703,0.678006672,0.747397388
172,AA6HMCJRRH83P,0.228495709,0.402090592,0.763852365,0.19392427,0.848544526
173,A30LOH7J2O4G59,0.285619636,0.50261324,0.818347973,0.600728273,0.577386558
174,A2MX3LUW1IZ70O,0.228495709,0.402090592,0.763852365,0.19392427,0.492381143
175,A6FIAB28IS79,0.724368104,0.901237535,0.647076062,0.629707672,0.694675419
176,A1SPKFZ3BBCS6J,0.228495709,0.402090592,0.19654973,0.19392427,0.694675419
177,A1E9QPX0866W00,0.228495709,0.402090592,0.627613345,0.629707672,0.492381143
178,A3J8A5L5AF5TX9,0.285619636,0.50261324,0.927339189,0.600728273,0.577386558
179,A1VCLTAGM5RLND,0.380826182,0.670150987,0.763852365,0.847053169,0.71906225
180,ASK9WKJAD7XO,0.357024546,0.628266551,0.724926931,0.567608959,0.683643327
181,A2IB1UP9VCFV0R,0.326422442,0.574415132,0.582200338,0.581408673,0.638104712
182,A3EJYJC25OJVKK,0.536964917,0.944912892,0.55810364,0.591265612,0.66327356
183,A18RQ2URRGIIEA,0.326422442,0.574415132,0.280785328,0.678006672,0.694675419
184,A3LGKYZIM3XA9T,0.326422442,0.574415132,0.280785328,0.277034671,0.797254823
185,A1RJJ56MBJMX87,0.617591784,0.925866496,0.668116837,0.594462457,0.935875641
186,A2POCFX540Y1CS,0.228495709,0.402090592,0.900091385,0.77460467,0.492381143
187,A20GXH7MS8F3BY,0.228495709,0.402090592,0.763852365,0.19392427,0.492381143
188,A13910TC3NZ6LE,0.285619636,0.50261324,0.818347973,0.716645871,0.577386558
189,ARVEFJCKGS1LO,0.326422442,0.574415132,0.854678378,0.77460467,0.638104712
190,A339IE87G18AJ1,0.326422442,0.574415132,0.673026351,0.277034671,0.638104712
191,A30VFA6VTVGYND,0.285619636,0.50261324,0.600365541,0.600728273,0.577386558
192,A2PTL3QI1NIYGS,0.415446744,0.731073804,0.654861149,0.352589582,0.817770704
193,A3SWVYLT3L6NOR,0.380826182,0.670150987,0.763852365,0.847053169,0.71906225
194,A2VMEYIEZE9UXD,0.326422442,0.574415132,0.280785328,0.678006672,0.899834228
195,A3TJ0WG5IJ22Y9,0.285619636,0.50261324,0.709356757,0.716645871,0.577386558
196,A3HEM1WWXXLOUL,0.448830857,0.789820806,0.61713342,0.573978058,0.820259172
197,A26TAY0X84IR7I,0.228495709,0.402090592,0.763852365,0.629707672,0.848544526
198,A2KW2KWKABNYNO,0.597224772,0.916530027,0.623484889,0.607753582,0.871858027
199,A25MI0APXLDBXA,0.228495709,0.402090592,0.763852365,0.629707672,0.492381143
200,ASOK6X7HSN7S9,0.228495709,0.402090592,0.19654973,0.19392427,0.492381143
201,A3CG7SQ6DA5YOC,0.285619636,0.50261324,0.709356757,0.716645871,0.879318347
202,A1PFFQTU3E65JI,0.448830857,0.789820806,0.742892516,0.707729133,0.820259172
203,A3C1QYGEET3BVY,0.228495709,0.402090592,0.763852365,0.629707672,0.492381143
204,AYQY3RB33F4J6,0.732024546,0.827833572,0.627613345,0.665931922,0.733142695
205,A82G34PJ0HIXL,0.380826182,0.670150987,0.627613345,0.702156171,0.71906225
206,A2TAPL67U2A5HM,0.555938221,0.978300772,0.820311779,0.636234564,0.9968688
207,ADTOLVG2MIC9J,0.228495709,0.402090592,0.763852365,0.19392427,0.492381143
208,AN9ZA24SQ6Y1Y,0.326422442,0.574415132,0.673026351,0.581408673,0.638104712
209,A19D230U2BGA7B,0.0,0.0,0.763852365,0.77460467,0.152359483
210,AGUVLMMICT3S6,0.380826182,0.670150987,0.763852365,0.629707672,0.71906225
211,A31N0ER5D33AA7,0.326422442,0.574415132,0.582200338,0.871202669,0.638104712
212,A27PS2HLB49DYT,0.428429455,0.753919861,0.590457248,0.590190309,0.834556425
213,AD84ZN1ZQBSSH,0.285619636,0.50261324,0.245687162,0.242405337,0.756223062
214,AOA4X13ZFB1Z5,0.357024546,0.628266551,0.802777799,0.567608959,0.683643327
215,A23LCEFE2BWE5F,0.228495709,0.402090592,0.763852365,0.629707672,0.492381143
216,A3II1ACACC5MTX,0.399867491,0.703658537,0.343962027,0.54920934,0.934027363
217,A1X68I8QCIOV59,0.228495709,0.402090592,0.900091385,0.629707672,0.492381143
218,A6H9O39KLJQ7F,0.285619636,0.50261324,0.709356757,0.600728273,0.577386558
219,A2OMZPMSG9AE9V,0.357024546,0.628266551,0.958479537,0.733205528,0.683643327
220,AU2MZBMCS5AJZ,0.285619636,0.50261324,0.818347973,0.716645871,0.577386558
221,A3IETFBY8G007C,0.228495709,0.402090592,0.632514595,0.77460467,0.492381143
222,AWQO371QER642,0.326422442,0.574415132,0.582200338,0.581408673,0.638104712
223,A1P7HN6TUQHFSN,0.228495709,0.402090592,0.900091385,0.19392427,0.492381143
224,A2LBG01YBSUP96,0.742743564,0.50261324,0.927339189,0.832563469,0.577386558
225,A1RIQUDE4B8NGX,0.228495709,0.402090592,0.19654973,0.629707672,0.848544526
226,ASDVBBX1I0EQH,0.285619636,0.50261324,0.709356757,0.948481067,0.577386558
227,A1QGB9XTR7KCZU,0.415446744,0.731073804,0.763852365,0.600728273,0.817770704
228,A3BJCYF4O5MX9H,0.456991418,0.804181185,0.686001496,0.567608959,0.832402803
229,A3AD60JDF9B2GL,0.285619636,0.50261324,0.600365541,0.832563469,0.577386558
230,AEPJ075RIOTRU,0.326422442,0.574415132,0.673026351,0.277034671,0.638104712
231,A2X3C00IHKN007,0.456991418,0.804181185,0.802777799,0.77460467,0.832402803
232,A35M1SRIMFQ0RQ,0.285619636,0.50261324,0.818347973,0.716645871,0.577386558
233,A3RHLD2VJJPMUT,0.285619636,0.50261324,0.927339189,0.242405337,0.577386558
234,AWNS12ZHHE2ZD,0.50269056,0.884599303,0.627613345,0.653857172,0.822899675
235,A1NLD7JAQBLEML,0.285619636,0.50261324,0.600365541,0.600728273,0.879318347
236,A1B5UQMA7J3F53,0.228495709,0.402090592,0.632514595,0.919501668,0.492381143
237,AEEIFVNVUBHO4,0.326422442,0.574415132,0.854678378,0.581408673,0.638104712
238,A2IHQEGE3JQWFR,0.326422442,0.574415132,0.763852365,0.678006672,0.638104712
239,A3FL6CIO8QIJ2F,0.485553382,0.854442509,0.663465718,0.576324568,0.937626641
240,A3JULKQLVLWZV,0.399867491,0.703658537,0.733577027,0.678006672,0.934027363
241,A2NBU5KNYC1V4B,0.785619636,0.402090592,0.632514595,0.919501668,0.492381143
242,A3B08CAHN6IYM6,0.285619636,0.50261324,0.709356757,0.600728273,0.577386558
243,AK88POC4RCEWE,0.326422442,0.574415132,0.280785328,0.678006672,0.638104712
244,A1MAYGZMP9JHKH,0.228495709,0.402090592,0.900091385,0.19392427,0.492381143
245,A11QD0NDRCXXC2,0.489633663,0.861622698,0.682108953,0.600728273,0.94086599
246,A3FIP4SQRGFZAW,0.228495709,0.402090592,0.627613345,0.77460467,0.492381143
247,AHU5KQL19HYXS,0.228495709,0.402090592,0.627613345,0.629707672,0.492381143
248,A3KOMZ79UJSZ2I,0.380826182,0.670150987,0.627613345,0.557259174,0.694675419
249,A3UYERNM2UQ30B,0.326422442,0.574415132,0.763852365,0.678006672,0.638104712
250,AHQ4BHTO39ZW5,0.285619636,0.50261324,0.600365541,0.832563469,0.879318347
251,A1LQIGGUB7R6JS,0.520835808,0.916530027,0.805136916,0.607753582,0.927408855
252,AYSLSU7966FWE,0.464131909,0.816746516,0.52770473,0.562089073,0.797254823
253,A1QZGBMUGA2HVL,0.228495709,0.402090592,0.627613345,0.19392427,0.492381143
254,A16YQ1TL4J62L0,0.228495709,0.402090592,0.19654973,0.629707672,0.492381143
255,AD6G5M3KL7GTB,0.493343008,0.868150143,0.569225193,0.622807815,0.885180028
256,A2CJMTZN2FHP0N,0.228495709,0.402090592,0.627613345,0.77460467,0.492381143
257,AT2SAWA59EVWD,0.624834364,0.827833572,0.695732855,0.665931922,0.852404077
258,A2RHV42BTJSVON,0.380826182,0.670150987,0.559493835,0.629707672,0.771609972
259,A32K45F1KWX7Q0,0.228495709,0.402090592,0.900091385,0.629707672,0.492381143
260,A30GWY7V57ZN34,0.228495709,0.402090592,0.900091385,0.629707672,0.492381143
261,A2CIQB66LQVLFK,0.285619636,0.50261324,0.245687162,0.600728273,0.879318347
262,A1BM7TP9L9WDXR,0.428429455,0.753919861,0.63999871,0.695569944,0.834556425
263,A3HS7T5E9EVPRA,0.380826182,0.670150987,0.695732855,0.847053169,0.848544526
264,A2GC1JN5F0ZVH8,0.499834364,0.879573171,0.63353678,0.585608586,0.788334875
265,A1ASCECH3KOZ3P,0.285619636,0.50261324,0.709356757,0.716645871,0.577386558
266,A2TDK8D4HEMUYW,0.285619636,0.50261324,0.600365541,0.242405337,0.879318347
267,A12N6XUM5ZYLXG,0.448830857,0.789820806,0.700972817,0.618561749,0.955069292
268,A1FCDOBRMQU1FJ,0.489633663,0.861622698,0.654861149,0.629707672,0.971639812
269,A2JJP3PXH7A0WX,0.228495709,0.402090592,0.627613345,0.629707672,0.848544526
270,A1D1B70RV0BVMV,0.456991418,0.804181185,0.686001496,0.733205528,0.832402803
271,A8MZ1GNMTKWNC,0.285619636,0.50261324,0.818347973,0.600728273,0.879318347
272,AKXNSHYLPOZ3R,0.428429455,0.753919861,0.63999871,0.853639396,0.789900096
273,A319Y60NW7HS77,0.326422442,0.574415132,0.673026351,0.678006672,0.638104712
274,A7GOB0BC3H68P,0.285619636,0.50261324,0.245687162,0.600728273,0.577386558
275,AL8IDHJPCE00K,0.415446744,0.731073804,0.763852365,0.77460467,0.770580683
276,A1K341BMPPSHYQ,0.285619636,0.50261324,0.245687162,0.832563469,0.577386558
277,A1JRHL29A1ABOT,0.536964917,0.944912892,0.591468298,0.496639001,0.98985289
278,A1RT55WQFWRD6H,0.228495709,0.402090592,0.627613345,0.19392427,0.848544526
279,A3G8JAOMNY5V4E,0.228495709,0.402090592,0.627613345,0.919501668,0.492381143
280,A3G5BVQG2W685K,0.326422442,0.574415132,0.280785328,0.277034671,0.110553487
281,A3I675GA2O8I59,0.505327049,0.88923881,0.534970811,0.647095312,0.903937404
282,AVYHWCIW5LNAX,0.612073628,0.868150143,0.698976641,0.540009531,0.826563225
283,A18E89JP3HVIW1,0.285619636,0.50261324,0.818347973,0.600728273,0.577386558
284,A3A0DXA6GCIK4Z,0.357024546,0.628266551,0.880628668,0.567608959,0.683643327
285,A2QWF2BJ2FM4R2,0.523636,0.921457607,0.818347973,0.6669669,0.931575787
286,A3GP5YP52BD4EX,0.415446744,0.731073804,0.600365541,0.600728273,0.770580683
287,A179SPC4TGCWK6,0.228495709,0.402090592,0.900091385,0.19392427,0.492381143
288,A28FNKCGFS03VL,0.540637169,0.951375062,0.739081634,0.569114382,0.991223153
289,A32DTCFBBB9WIV,0.428429455,0.753919861,0.788623096,0.590190309,0.789900096
290,AZSACV427GIAH,0.428429455,0.753919861,0.788623096,0.748259761,0.789900096
291,A1P3SPJ15O5RQ1,0.357024546,0.628266551,0.958479537,0.567608959,0.683643327
292,ASZQK7QMVR5XA,0.357024546,0.628266551,0.724926931,0.303006672,0.683643327
293,A2OSOFXBXW0DP4,0.228495709,0.402090592,0.763852365,0.629707672,0.492381143
294,A3RICVFW2YD1LZ,0.228495709,0.402090592,0.19654973,0.19392427,0.492381143
295,A276M3NSIY9B82,0.485553382,0.854442509,0.663465718,0.545819937,0.710872167
296,A1UE8RBOIQ6SRJ,0.228495709,0.402090592,0.19654973,0.629707672,0.492381143
297,A24WH5CF3B8LJ7,0.228495709,0.402090592,0.763852365,0.629707672,0.492381143
298,A2KUXPRQMR2OET,0.522275907,0.919064211,0.811936725,0.604137614,0.929551849
299,AG45QNJZLEV90,0.228495709,0.402090592,0.19654973,0.629707672,0.694675419
300,A1NZTP6UB7YHG7,0.228495709,0.402090592,0.763852365,0.77460467,0.492381143
301,A3OI7Y4WK1Y51U,0.228495709,0.402090592,0.763852365,0.19392427,0.492381143
